nohup: ignoring input
2024-08-08 16:33:16 | INFO | openai_api_server | args: Namespace(host='0.0.0.0', port=7802, controller_address='http://0.0.0.0:7800', allow_credentials=False, allowed_origins=['*'], allowed_methods=['*'], allowed_headers=['*'], api_keys=None, ssl=False)
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Started server process [201]
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Waiting for application startup.
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Application startup complete.
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:7802 (Press CTRL+C to quit)
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35164 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35180 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35192 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35202 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35206 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35212 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35226 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35230 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35246 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35248 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35258 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35262 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35270 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35280 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35294 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35310 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35324 - "POST /api/v1/token_check HTTP/1.1" 200 OK
2024-08-08 16:54:39 | INFO | stdout | INFO:     127.0.0.1:35332 - "POST /api/v1/token_check HTTP/1.1" 200 OK
